id_venta,fecha,id_cliente,pais,producto,categoria,cantidad,precio_unitario,metodo_pago
1,2026-04-20,1001,España,Portátil,Electrónica,1.0,899.99,Tarjeta
2,2026-04-20,1002,Francia,Teclado,Electrónica,2.0,49.99,PayPal
3,2026-04-20,1003,España,Ratón,Electrónica,1.0,25.50,Transferencia
4,2026-04-20,1004,Alemania,Monitor,Electrónica,1.0,199.90,Tarjeta
5,2026-04-20,1005,España,Silla Oficina,Mobiliario,1.0,145.00,Tarjeta
6,2026-04-20,1006,Espana,Auriculares,Electrónica,2.0,89.99,tarjeta
7,2026-04-21,1007,Italia,Webcam,Electrónica,-1.0,75.00,PayPal
8,2026-04-21,1008,,Portátil,Electrónica,1.0,999.99,Transferencia
9,2026-04-21,1009,España,Tablet,Electrónica,1.0,,Tarjeta
10,2026-04-21,1010,Portugal,Impresora,Electrónica,1.0,"129,90",Tarjeta
11,2026-04-21,1011,España,Monitor,Electrónica,1.0,199.90,Tarjeta
11,2026-04-21,1011,España,Monitor,Electrónica,1.0,199.90,Tarjeta
12,2026-04-22,1012,Francia,Escritorio,Mobiliario,1.0,250.00,Transferencia
13,2026-04-22,1013,España,Lámpara,Mobiliario,2.0,35.00,Tarjeta
14,2026-04-22,1014,Alemanía,Tablet,Electrónica,1.0,450 euros,PayPal
15,2026-04-22,1015,España,Portátil,Electrónica,1.0,1099.99,Tarjeta
16,2026-04-22,1016,Portugal,Ratón,Electrónica,3.0,22.99,Transferencia
17,2026-04-22,1017,España,Teclado,Electrónica,2.0,55.00,Tarjeta
18,2026-04-22,1018,Francia,Silla Oficina,Mobiliario,1.0,160.00,PayPal
19,2026-04-22,1019,España,Monitor,Electrónica,1.0,210.00,Tarjeta
20,2026-04-22,1020,Italia,Auriculares,Electrónica,2.0,95.00,Transferencia
21,2026-04-23,1021, españa ,Tablet,Electrónica,1.0,320.00,paypal
22,2026-04-23,1022,Portugual,Monitor,Electrónica,1.0,"204,90",Tarjeta
23,2026-04-23,1023,España,Webcam,Electrónica,,65.00,Tarjeta
24,2026-04-23,1024,Francia,Portátil,Electrónica,-2.0,899.99,Transferencia
25,2026-04-23,1025,España,Ratón,Electrónica,1.0,195.99,Tarjeta
26,2026-04-23,1026,Francia,Teclado,Electrónica,2.0,202.99,PayPal
27,2026-04-23,1027,Portugal,Monitor,Electrónica,3.0,209.99,Transferencia
28,2026-04-23,1028,Italia,Tablet,Electrónica,1.0,216.99,Tarjeta
29,2026-04-23,1029,Alemania,Auriculares,Electrónica,2.0,223.99,PayPal
30,2026-04-23,1030,España,Ratón,Electrónica,3.0,230.99,Transferencia
31,2026-04-23,1031,Francia,Teclado,Electrónica,1.0,237.99,Tarjeta
32,2026-04-23,1032,Portugal,Monitor,Electrónica,2.0,244.99,PayPal
33,2026-04-23,1033,Italia,Tablet,Electrónica,3.0,251.99,Transferencia
34,2026-04-23,1034,Alemania,Auriculares,Electrónica,1.0,258.99,Tarjeta
35,2026-04-24,1035,España,Ratón,Electrónica,2.0,265.99,PayPal
36,2026-04-24,1036,Francia,Teclado,Electrónica,3.0,272.99,Transferencia
37,2026-04-24,1037,Portugal,Monitor,Electrónica,1.0,279.99,Tarjeta
38,2026-04-24,1038,Italia,Tablet,Electrónica,2.0,286.99,PayPal
39,2026-04-24,1039,Alemania,Auriculares,Electrónica,3.0,293.99,Transferencia
40,2026-04-24,1040,España,Ratón,Electrónica,1.0,300.99,Tarjeta
41,2026-04-24,1041,Francia,Teclado,Electrónica,2.0,307.99,PayPal
42,2026-04-24,1042,Portugal,Monitor,Electrónica,3.0,314.99,Transferencia
43,2026-04-24,1043,Italia,Tablet,Electrónica,1.0,21.99,Tarjeta
44,2026-04-24,1044,Alemania,Auriculares,Electrónica,2.0,28.99,PayPal
45,2026-04-25,1045,España,Ratón,Electrónica,3.0,35.99,Transferencia
46,2026-04-25,1046,Francia,Teclado,Electrónica,1.0,42.99,Tarjeta
47,2026-04-25,1047,Portugal,Monitor,Electrónica,2.0,49.99,PayPal
48,2026-04-25,1048,Italia,Tablet,Electrónica,3.0,56.99,Transferencia
49,2026-04-25,1049,Alemania,Auriculares,Electrónica,1.0,63.99,Tarjeta
50,2026-04-25,1050,España,Ratón,Electrónica,2.0,70.99,PayPal
51,2026-04-25,1051,Francia,Teclado,Electrónica,3.0,77.99,Transferencia
52,2026-04-25,1052,Portugal,Monitor,Electrónica,1.0,84.99,Tarjeta
53,2026-04-25,1053,Italia,Tablet,Electrónica,2.0,91.99,PayPal
54,2026-04-25,1054,Alemania,Auriculares,Electrónica,3.0,98.99,Transferencia
55,2026-04-26,1055,España,Ratón,Electrónica,1.0,105.99,Tarjeta
56,2026-04-26,1056,Francia,Teclado,Electrónica,2.0,112.99,PayPal
57,2026-04-26,1057,Portugal,Monitor,Electrónica,3.0,119.99,Transferencia
58,2026-04-26,1058,Italia,Tablet,Electrónica,1.0,126.99,Tarjeta
59,2026-04-26,1059,Alemania,Auriculares,Electrónica,2.0,133.99,PayPal
60,2026-04-26,1060,España,Ratón,Electrónica,3.0,140.99,Transferencia
